Toi,Label,Orbital_period,Transit_duration,Transit_depth,Planet_radius,Planet_equilibrium_temperature,Magnitude,Stellar_temperature,Stellar_radius
1156.01,0,1.6865822,2.429,1770,,,9.7032,,
1157.01,0,13.0727479,3.044,4080,35.7944,1074,9.6043,5709.8,3.59
1158.01,0,2.9258727,4.075,6720,24.4055,2066,9.5967,4884.5,1.3
1159.01,0,0.73774,0.636,524.852,5.28215,,9.5937,6449.5,2.1
1160.01,0,2.3664127,2.591,300,,,9.577,,
1164.01,0,3.2077145,2.708,9640,,,9.329701,,
1166.01,0,1.8824539,2.46,1391,8.29008,3091,9.7604,5900.4,1.13
1167.01,0,15.196,1.792,1970,4.96345,,10.3874,5807,1.14
1168.01,0,2.1358631,1.559,10325,23.6019,1745,10.381,5969,1.5
1170.01,0,1.8296155,2.166,1406,29.3616,3751,10.349,7875,3.5
1171.01,0,11.1876137,3.183,4924,31.8624,1499,10.3075,7266,2.05
1172.01,0,7.8513949,6.835,22029,,,10.3018,,
1175.01,0,7.5022708,2.605,1760,5.55812,940,10.2026,6229,1.27
1177.01,0,1.692892,2.886,1418,11.2371,5800,10.1617,9121.5,2.1
1178.01,0,2.6652007,3.49,819,2.35964,2045,10.1358,4043.4,0.56
1182.01,0,7.6416041,2.654,6025,27.538,1303,10.0049,6496.7,2.05
1183.01,0,5.9294088,2.933,10226,10.8101,,9.9478,5095.6,1.06
1185.01,0,1.1967018,1.879,824,10.3239,3534,9.94025,5997,1.73
1186.01,0,11.2464616,7.391,7576,17.6677,1218,9.92402,6115.7,2.01
1188.01,0,8.5112,3.486,4172.76,,,9.886581,8156,
1191.01,0,15.7335693,3.288,2540,24.3218,1219,9.7831,6800,2.21
1193.01,0,2.2219839,1.996,4394,15.4416,,10.4813,7166.8,1.87
1195.01,0,4.05135,2.4,1132.23,14.2359,,10.4717,4974.4,3.85
1200.01,0,0.8352406,1.043,2065,6.4875,2345,10.402,6105,1.24
1202.01,0,,2.726775,878.134108,1.710706,448.0162269,8.386,3773,0.577983
1206.01,0,0.831542,1.985538,248.969585,1.881684,1999.379666,8.6014,5824,1.1512
1210.01,0,79.3739596,5.392,1227,2.17454,368,11.1762,5168.33,0.77
1213.01,0,27.2149622,3.7190483,4731.404623,8.3475973,573.0537137,10.6392,6270,0.989667
1223.01,0,14.64319,2.5483426,242.7923919,3.41248,1134.279147,9.3109,6516,2.04178
1234.01,0,2.2645386,3.8193701,15019.94209,5.1936764,616.7174475,13.7991,3443,0.411471
1253.01,0,4.6756655,1.914,738,4.03134,1085,9.89947,5779,1.45
1256.01,0,1.0332441,3.8017836,26111.5082,4.087988,516.1833775,13.5608,2972,0.156193
1270.01,0,14.3034613,3.135,48840,18.4949,551,11.463,5056.6,0.83
1284.01,0,1.283251,2.012261,1961.318203,2.558112,923.6720985,12.5313,3855,0.560391
1285.01,0,1.2284388,1.9190118,1229.496513,1.866263,841.1003116,10.9313,3526,0.53023
1289.01,0,0.581322,1.3261177,3206.601002,2.2014886,952.4881815,12.9984,3446,0.38621
1292.01,0,1.4412175,1.666,12927,17.0442,1626,9.84566,5672.9,1.46
1297.01,0,3.93034,3.667,9724.58,14.8838,,10.9873,6292,1.37
1299.01,0,5.929405,3.719,16410,,,10.451,,
1303.01,0,1.56029,2.751,1690,18.4825,3900,9.87278,6897,2.29
1304.01,0,8.8735214,4.059,1949,6.0401,1591,9.76577,5992,1.18
1305.01,0,7.8513774,6.699,21571,,,10.3018,,
1306.01,0,7.6869063,4.652,4500,23.7824,1409,10.0194,5147.3,3.07
1308.01,0,1.3797091,2.352,1320,22.2329,3626,10.6168,5924,2.67
1309.01,0,1.49861,2.871,2188.61,,4828,10.6229,8590,
1310.01,0,2.6796,2.771,7590,11.8862,1492,10.5742,5938,1.32
1312.01,0,11.0765063,4.692,4400,12.8076,1033,10.1098,6460,1.86
1313.01,0,0.6193401,1.514,1853,8.84136,,9.6996,7812.5,1.79
1314.01,0,2.6400663,3.368,1328,18.2671,2611,9.90482,5155,2.72
1315.01,0,2.5778717,3.472,1010,18.687,4400,9.14819,8321,3.16
1316.01,0,3.80509,3.347,1280,8.57193,1644,10.3332,6555.5,2.35
1317.01,0,2.99041,3.952,1290,24.2511,4252,10.2918,8542,3.56
1319.01,0,0.890967,1.784,1100,2.89678,2099,9.3213,5159.2,0.87
1321.01,0,1.19888,1.558,1169.03,20.5525,2172,10.0849,7315,5.46
1323.01,0,2.03905,2.26,430,6.42307,3550,8.26618,9003,2.68
1324.01,0,2.9424142,4.073,1400,9.70968,3452,10.1894,6854,1.79
1325.01,0,1.0793011,2.196,1562,3.31116,2612,9.9809,4349.3,0.67
1326.01,0,8.0428575,9.504,18730,,2522,8.6746,8286,
1328.01,0,4.0157492,2.706,1150,6.47219,1417,10.3599,6585,2.07
1329.01,0,2.01976,3.394,3963.85,7.3626,2444,10.2835,7274.6,1.72
1330.01,0,1.748054,2.122,670,,,9.521,,
1331.01,0,2.65646,2.475,773.369,12.1711,1545,9.08409,6135.4,3.98
1332.01,0,2.65688,2.615,1959.88,,,10.8823,,
1334.01,0,4.03349,2.684,1530,23.4514,2400,9.5526,11348,6.37
1335.01,0,3.3295394,2.77,2620,14.3988,1916,10.4806,7965,2.35
1336.01,0,3.8615978,1.678,1020,13.8394,1933,10.2115,7396,2.45
1340.01,0,8.5874668,5.1458902,1904.813148,5.3744721,895.5943008,10.8037,5929,0.987583
1341.01,0,6.4474918,2.643,9270,48.9878,1443,9.53591,6477.6,1.69
1342.01,0,1.4136455,1.448,2427,,2358,10.4243,5869,
1343.01,0,3.4040139,4.837,935,5.34279,4701,10.0062,9622,1.65
1344.01,0,13.7432169,2.73,5046,25.7481,1015,8.88797,5941.5,1.4
1348.01,0,2.14056,2.029,355.8315803,1.83828,1174,10.6666,4567,0.84
